"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","设备管理","这是一个测试正常新增设备的case","0","2","1","0","0"
"","设备管理","这是一个测试设备ip必填项的case","0","0","1","0","0"
"","修改设备","这是一个修改设备名字的case","0","1","1","0","0"
"","修改设备","这个一个修改设备名字，ip，生产厂家的case","0","0","1","0","0"
"","登录","这是一个测试账号错误登录的case","0","0","2","0","0"
"","修改设备","这是一个修改设备生产厂家的case","0","1","1","0","0"
"","成员管理","hhhh","0","0","1","0","0"
"","登录","这是一个测试正常登录的case","0","0","2","0","0"
"","成员管理","这是一个测试修改用户名字账号的case","0","1","0","0","0"
"","新增组织架构的case","这是一个测试正常新增组织架构的case","0","0","1","0","0"
"","设备管理","这是一个测试设备名称必填项的case","0","0","1","0","0"
"","修改设备","这是一个修改设备ip的case","0","1","1","0","0"
"","成员管理,新增人员","这是一个测试正常新增用户的case","0","0","1","0","0"
"","设备管理","这是一个测试设备生产厂家必填的case","0","0","1","0","0"
"","成员管理","这是一个测试正常新增的case","0","0","1","0","0"
"","成员管理,修改人员","这是一个修改人员名字，账号的case","0","1","1","0","0"
