"Status","Name","Duration in ms","Description"
"broken","test_cases.test_device_management.test_add_device.TestAddDevice#test_normal_add_device","0","
        用例描述：输入设备编号，设备ip，生产厂家，选择设备类型，组织机构，正常新增设备
        :return:
        "
"passed","test_cases.test_device_management.test_add_device.test_add_device.TestAddDevice#test_device_ip_mandatory","1078","
        用例描述：设备ip必填
        :param state_add_device_management_class:
        :param state_driver:
        :return:
        "
"broken","test_cases.test_device_management.test_modify_device.TestModifyDevice#test_modify_device_name","0",""
"passed","test_cases.test_device_management.test_modify_device.test_modify_device.TestModifyDevice#test_modify_device_name","2227",""
"passed","test_cases.test_device_management.test_modify_device.test_modify_device.TestModifyDevice#test_modify_device_name_ip_manufacturer","2482",""
"passed","test_cases.test_login.test_login.TestLogin#test_account_wrong_login","2341","
        用例描述：输入错误管理员账号，正确密码，验证码（随便），登录报错
        :return:
        "
"broken","test_cases.test_device_management.test_modify_device.TestModifyDevice#test_modify_manufacturer","0",""
"passed","test_cases.test_user_management.test_add_user.TestAddUser#test_login","1646",""
"passed","test_cases.test_login.test_login.TestLogin#test_normal_login","1929","
        用例描述：输入正确管理员账号，正确密码，验证码（随便）正常登录
        :return:
        "
"passed","test_cases.test_device_management.test_modify_device.test_modify_device.TestModifyDevice#test_modify_manufacturer","2234",""
"broken","test_cases.test_user_management.test_add_user.TestAddUser#test_modify_","0",""
"passed","test_cases.test_organization_structure.test_add_organization_structure.TestAddUser#test_normal_add_user","1880","
        用例描述：输入编号，名字，正常新增组织架构
        :return:
        "
"passed","test_cases.test_device_management.test_add_device.test_add_device.TestAddDevice#test_device_name_mandatory","3143","
        用例描述：设备名称必填
        :return:
        "
"passed","test_cases.test_device_management.test_modify_device.test_modify_device.TestModifyDevice#test_modify_device_ip","2263",""
"broken","test_cases.test_device_management.test_modify_device.TestModifyDevice#test_modify_device_ip","0",""
"passed","test_cases.test_user_management.test_add_user.TestAddUser#test_normal_add_user","2618","
        用例描述：输入编号，姓名，账号名，选择所属结构，正常新增用户
        :return:
        "
"passed","test_cases.test_device_management.test_add_device.test_add_device.TestAddDevice#test_manufacturer_mandatory","5431","
        用例描述：设备生产厂家必填
        :param state_add_device_management_class:
        :param state_driver:
        :return:
        "
"passed","test_cases.test_device_management.test_add_device.test_add_device.TestAddDevice#test_normal_add_device","3305","
        用例描述：输入设备编号，设备ip，生产厂家，选择设备类型，组织机构，正常新增设备
        :return:
        "
"passed","testCases.testLogin.test_login.TestSearchPage#test_account_wrong_login","2796","
        用例描述：输入错误管理员账号，正确密码，验证码（随便），登录报错
        :return:
        "
"passed","test_cases.test_user_management.test_add_user.TestAddUser#test_normal_login","3091","
        用例描述：输入编号，姓名，账号名，选择所属结构，正常新增用户
        :return:
        "
"broken","test_cases.test_device_management.test_add_device.TestAddDevice#test_normal_add_user","8511","
        用例描述：输入编号，姓名，账号名，选择所属结构，正常新增用户
        :return:
        "
"passed","test_cases.test_user_management.test_modify_user.TestModifyUser#test_modify_user","3916","
        用例描述：修改用户姓名，正常修改
        :return:
        "
"broken","test_cases.test_user_management.test_modify_user.TestAddUser#test_modify_","20297","
        用例描述：修改用户姓名，正常修改
        :return:
        "
"passed","testCases.testLogin.test_login.TestSearchPage#test_normal_login","2781","
        用例描述：输入正确管理员账号，正确密码，验证码（随便）正常登录
        :return:
        "
